"regional,""kode_kebun"",""nama_kebun"",""afdeling"",""blok"""
"DATIM,""1KJL"",KEBUN JULOK RAYEUK SELATAN,AFD02,I.14"
"DATIM,""1KJL"",KEBUN JULOK RAYEUK SELATAN,AFD02,I.15"
"DATIM,""1KJL"",KEBUN JULOK RAYEUK SELATAN,AFD02,J.11"
"DATIM,""1KJL"",KEBUN JULOK RAYEUK SELATAN,AFD02,J.12"
"DATIM,""1KJL"",KEBUN JULOK RAYEUK SELATAN,AFD02,J.13"
"DATIM,""1KJL"",KEBUN JULOK RAYEUK SELATAN,AFD02,J.14"
"DATIM,""1KJL"",KEBUN JULOK RAYEUK SELATAN,AFD02,J.15"
"DATIM,""1KJL"",KEBUN JULOK RAYEUK SELATAN,AFD02,K.11"
"DATIM,""1KJL"",KEBUN JULOK RAYEUK SELATAN,AFD02,K.12"
"DATIM,""1KJL"",KEBUN JULOK RAYEUK SELATAN,AFD02,K.13"
"DATIM,""1KJL"",KEBUN JULOK RAYEUK SELATAN,AFD02,K.14"
"DATIM,""1KJL"",KEBUN JULOK RAYEUK SELATAN,AFD02,K.15"
"DATIM,""1KJL"",KEBUN JULOK RAYEUK SELATAN,AFD02,L.11"
"DATIM,""1KJL"",KEBUN JULOK RAYEUK SELATAN,AFD02,L.12"
"DATIM,""1KJL"",KEBUN JULOK RAYEUK SELATAN,AFD02,L.13"
"DATIM,""1KJL"",KEBUN JULOK RAYEUK SELATAN,AFD03,G-7"
"DATIM,""1KJL"",KEBUN JULOK RAYEUK SELATAN,AFD03,G-8"
"DATIM,""1KJL"",KEBUN JULOK RAYEUK SELATAN,AFD03,G-9"
"DATIM,""1KJL"",KEBUN JULOK RAYEUK SELATAN,AFD03,H-7"
"DATIM,""1KJL"",KEBUN JULOK RAYEUK SELATAN,AFD03,H-8"
"DATIM,""1KJL"",KEBUN JULOK RAYEUK SELATAN,AFD03,H-9"
"DATIM,""1KJL"",KEBUN JULOK RAYEUK SELATAN,AFD03,I-10"
"DATIM,""1KJL"",KEBUN JULOK RAYEUK SELATAN,AFD03,I-7"
"DATIM,""1KJL"",KEBUN JULOK RAYEUK SELATAN,AFD03,I-8"
"DATIM,""1KJL"",KEBUN JULOK RAYEUK SELATAN,AFD03,I-9"
"DATIM,""1KJL"",KEBUN JULOK RAYEUK SELATAN,AFD03,J-10"
"DATIM,""1KJL"",KEBUN JULOK RAYEUK SELATAN,AFD03,J-7"
"DATIM,""1KJL"",KEBUN JULOK RAYEUK SELATAN,AFD03,J-8"
"DATIM,""1KJL"",KEBUN JULOK RAYEUK SELATAN,AFD03,J-9"
"DATIM,""1KJL"",KEBUN JULOK RAYEUK SELATAN,AFD03,K-10"
"DATIM,""1KJL"",KEBUN JULOK RAYEUK SELATAN,AFD03,K-7"
"DATIM,""1KJL"",KEBUN JULOK RAYEUK SELATAN,AFD03,K-8"
"DATIM,""1KJL"",KEBUN JULOK RAYEUK SELATAN,AFD03,K-9"
"DATIM,""1KJL"",KEBUN JULOK RAYEUK SELATAN,AFD03,L-10"
"DATIM,""1KJL"",KEBUN JULOK RAYEUK SELATAN,AFD03,L-7"
"DATIM,""1KJL"",KEBUN JULOK RAYEUK SELATAN,AFD03,L-8"
"DATIM,""1KJL"",KEBUN JULOK RAYEUK SELATAN,AFD03,L-9"
"DATIM,""1KJL"",KEBUN JULOK RAYEUK SELATAN,AFD03,M-10"
"DATIM,""1KJL"",KEBUN JULOK RAYEUK SELATAN,AFD03,M-7"
"DATIM,""1KJL"",KEBUN JULOK RAYEUK SELATAN,AFD03,M-8"
"DATIM,""1KJL"",KEBUN JULOK RAYEUK SELATAN,AFD03,M-9"
"DATIM,""1KJL"",KEBUN JULOK RAYEUK SELATAN,AFD04,G. 2"
"DATIM,""1KJL"",KEBUN JULOK RAYEUK SELATAN,AFD04,G. 3"
"DATIM,""1KJL"",KEBUN JULOK RAYEUK SELATAN,AFD04,G. 4"
"DATIM,""1KJL"",KEBUN JULOK RAYEUK SELATAN,AFD04,G. 5"
"DATIM,""1KJL"",KEBUN JULOK RAYEUK SELATAN,AFD04,G. 6"
"DATIM,""1KJL"",KEBUN JULOK RAYEUK SELATAN,AFD04,H. 2"
"DATIM,""1KJL"",KEBUN JULOK RAYEUK SELATAN,AFD04,H. 3"
"DATIM,""1KJL"",KEBUN JULOK RAYEUK SELATAN,AFD04,H. 4"
"DATIM,""1KJL"",KEBUN JULOK RAYEUK SELATAN,AFD04,H. 5"
"DATIM,""1KJL"",KEBUN JULOK RAYEUK SELATAN,AFD04,H. 6"
"DATIM,""1KJL"",KEBUN JULOK RAYEUK SELATAN,AFD04,I. 2"
"DATIM,""1KJL"",KEBUN JULOK RAYEUK SELATAN,AFD04,I. 3"
"DATIM,""1KJL"",KEBUN JULOK RAYEUK SELATAN,AFD04,I. 4"
"DATIM,""1KJL"",KEBUN JULOK RAYEUK SELATAN,AFD04,I. 5"
"DATIM,""1KJL"",KEBUN JULOK RAYEUK SELATAN,AFD04,I. 6"
"DATIM,""1KJL"",KEBUN JULOK RAYEUK SELATAN,AFD04,J. 2"
"DATIM,""1KJL"",KEBUN JULOK RAYEUK SELATAN,AFD04,J. 3"
"DATIM,""1KJL"",KEBUN JULOK RAYEUK SELATAN,AFD04,J. 4"
"DATIM,""1KJL"",KEBUN JULOK RAYEUK SELATAN,AFD04,J. 5"
"DATIM,""1KJL"",KEBUN JULOK RAYEUK SELATAN,AFD04,J. 6"
"DATIM,""1KJL"",KEBUN JULOK RAYEUK SELATAN,AFD04,K. 3"
"DATIM,""1KJL"",KEBUN JULOK RAYEUK SELATAN,AFD04,K. 4"
"DATIM,""1KJL"",KEBUN JULOK RAYEUK SELATAN,AFD04,K. 5"
"DATIM,""1KJL"",KEBUN JULOK RAYEUK SELATAN,AFD04,K. 6"
"DATIM,""1KJL"",KEBUN JULOK RAYEUK SELATAN,AFD04,L. 3"
"DATIM,""1KJL"",KEBUN JULOK RAYEUK SELATAN,AFD04,L. 4"
"DATIM,""1KJL"",KEBUN JULOK RAYEUK SELATAN,AFD04,L. 5"
"DATIM,""1KJL"",KEBUN JULOK RAYEUK SELATAN,AFD04,L. 6"
"DATIM,""1KJL"",KEBUN JULOK RAYEUK SELATAN,AFD04,M. 3"
"DATIM,""1KJL"",KEBUN JULOK RAYEUK SELATAN,AFD04,M. 4"
"DATIM,""1KJL"",KEBUN JULOK RAYEUK SELATAN,AFD04,M. 5"
"DATIM,""1KJL"",KEBUN JULOK RAYEUK SELATAN,AFD04,M. 6"
"DATIM,""1KJL"",KEBUN JULOK RAYEUK SELATAN,AFD05,N.10"
"DATIM,""1KJL"",KEBUN JULOK RAYEUK SELATAN,AFD05,N.3"
"DATIM,""1KJL"",KEBUN JULOK RAYEUK SELATAN,AFD05,N.4"
"DATIM,""1KJL"",KEBUN JULOK RAYEUK SELATAN,AFD05,N.5"
"DATIM,""1KJL"",KEBUN JULOK RAYEUK SELATAN,AFD05,N.6"
"DATIM,""1KJL"",KEBUN JULOK RAYEUK SELATAN,AFD05,N.7"
"DATIM,""1KJL"",KEBUN JULOK RAYEUK SELATAN,AFD05,N.8"
"DATIM,""1KJL"",KEBUN JULOK RAYEUK SELATAN,AFD05,N.9"
"DATIM,""1KJL"",KEBUN JULOK RAYEUK SELATAN,AFD05,O.10"
"DATIM,""1KJL"",KEBUN JULOK RAYEUK SELATAN,AFD05,O.3"
"DATIM,""1KJL"",KEBUN JULOK RAYEUK SELATAN,AFD05,O.4"
"DATIM,""1KJL"",KEBUN JULOK RAYEUK SELATAN,AFD05,O.5"
"DATIM,""1KJL"",KEBUN JULOK RAYEUK SELATAN,AFD05,O.6"
"DATIM,""1KJL"",KEBUN JULOK RAYEUK SELATAN,AFD05,O.7"
"DATIM,""1KJL"",KEBUN JULOK RAYEUK SELATAN,AFD05,O.8"
"DATIM,""1KJL"",KEBUN JULOK RAYEUK SELATAN,AFD05,O.9"
"DATIM,""1KJL"",KEBUN JULOK RAYEUK SELATAN,AFD05,P.10"
"DATIM,""1KJL"",KEBUN JULOK RAYEUK SELATAN,AFD05,P.3"
"DATIM,""1KJL"",KEBUN JULOK RAYEUK SELATAN,AFD05,P.4"
"DATIM,""1KJL"",KEBUN JULOK RAYEUK SELATAN,AFD05,P.5"
"DATIM,""1KJL"",KEBUN JULOK RAYEUK SELATAN,AFD05,P.6"
"DATIM,""1KJL"",KEBUN JULOK RAYEUK SELATAN,AFD05,P.7"
"DATIM,""1KJL"",KEBUN JULOK RAYEUK SELATAN,AFD05,P.8"
"DATIM,""1KJL"",KEBUN JULOK RAYEUK SELATAN,AFD05,P.9"
"DATIM,""1KJL"",KEBUN JULOK RAYEUK SELATAN,AFD05,Q.5"
"DATIM,""1KJL"",KEBUN JULOK RAYEUK SELATAN,AFD05,Q.6"
"DATIM,""1KJL"",KEBUN JULOK RAYEUK SELATAN,AFD05,Q.7"
"DATIM,""1KJL"",KEBUN JULOK RAYEUK SELATAN,AFD05,Q.8"
"DATIM,""1KJL"",KEBUN JULOK RAYEUK SELATAN,AFD05,Q.9"
"DATIM,""1KJL"",KEBUN JULOK RAYEUK SELATAN,AFD05,R.6"
"DATIM,""1KJL"",KEBUN JULOK RAYEUK SELATAN,AFD05,R.7"
"DATIM,""1KJL"",KEBUN JULOK RAYEUK SELATAN,AFD05,R.8"
"DATIM,""1KKI"",KEBUN KARANG INONG,AFD01,P.18"
"DATIM,""1KKI"",KEBUN KARANG INONG,AFD01,P.19"
"DATIM,""1KKI"",KEBUN KARANG INONG,AFD01,Q.13"
"DATIM,""1KKI"",KEBUN KARANG INONG,AFD01,Q.14"
"DATIM,""1KKI"",KEBUN KARANG INONG,AFD01,Q.15"
"DATIM,""1KKI"",KEBUN KARANG INONG,AFD01,Q.19"
"DATIM,""1KKI"",KEBUN KARANG INONG,AFD01,Q.20"
"DATIM,""1KKI"",KEBUN KARANG INONG,AFD01,Q.21"
"DATIM,""1KKI"",KEBUN KARANG INONG,AFD01,R.14"
"DATIM,""1KKI"",KEBUN KARANG INONG,AFD01,R.15"
"DATIM,""1KKI"",KEBUN KARANG INONG,AFD01,R.19"
"DATIM,""1KKI"",KEBUN KARANG INONG,AFD01,R.20"
"DATIM,""1KKI"",KEBUN KARANG INONG,AFD01,R.21"
"DATIM,""1KKI"",KEBUN KARANG INONG,AFD01,R.22"
"DATIM,""1KKI"",KEBUN KARANG INONG,AFD01,S.14"
"DATIM,""1KKI"",KEBUN KARANG INONG,AFD01,S.19"
"DATIM,""1KKI"",KEBUN KARANG INONG,AFD01,S.20"
"DATIM,""1KKI"",KEBUN KARANG INONG,AFD01,S.21"
"DATIM,""1KKI"",KEBUN KARANG INONG,AFD01,S.22"
"DATIM,""1KKI"",KEBUN KARANG INONG,AFD01,T.14"
"DATIM,""1KKI"",KEBUN KARANG INONG,AFD01,T.18"
"DATIM,""1KKI"",KEBUN KARANG INONG,AFD01,T.19"
"DATIM,""1KKI"",KEBUN KARANG INONG,AFD01,T.20"
"DATIM,""1KKI"",KEBUN KARANG INONG,AFD01,T.21"
"DATIM,""1KKI"",KEBUN KARANG INONG,AFD01,T.22"
"DATIM,""1KKI"",KEBUN KARANG INONG,AFD01,U.13"
"DATIM,""1KKI"",KEBUN KARANG INONG,AFD01,U.14"
"DATIM,""1KKI"",KEBUN KARANG INONG,AFD01,U.18"
"DATIM,""1KKI"",KEBUN KARANG INONG,AFD01,U.19"
"DATIM,""1KKI"",KEBUN KARANG INONG,AFD01,U.20"
"DATIM,""1KKI"",KEBUN KARANG INONG,AFD01,U.21"
"DATIM,""1KKI"",KEBUN KARANG INONG,AFD01,U.22"
"DATIM,""1KKI"",KEBUN KARANG INONG,AFD01,V.13"
"DATIM,""1KKI"",KEBUN KARANG INONG,AFD01,V.14"
"DATIM,""1KKI"",KEBUN KARANG INONG,AFD01,V.15"
"DATIM,""1KKI"",KEBUN KARANG INONG,AFD01,W.12"
"DATIM,""1KKI"",KEBUN KARANG INONG,AFD01,W.13"
"DATIM,""1KKI"",KEBUN KARANG INONG,AFD01,W.14"
"DATIM,""1KKI"",KEBUN KARANG INONG,AFD01,W.15"
"DATIM,""1KKI"",KEBUN KARANG INONG,AFD02,T.5"
"DATIM,""1KKI"",KEBUN KARANG INONG,AFD02,U.12"
"DATIM,""1KKI"",KEBUN KARANG INONG,AFD02,U.13"
"DATIM,""1KKI"",KEBUN KARANG INONG,AFD02,V.12"
"DATIM,""1KKI"",KEBUN KARANG INONG,AFD02,V.13"
"DATIM,""1KKI"",KEBUN KARANG INONG,AFD02,W.11"
"DATIM,""1KKI"",KEBUN KARANG INONG,AFD02,W.12"
"DATIM,""1KKI"",KEBUN KARANG INONG,AFD02,W.13"
"DATIM,""1KKI"",KEBUN KARANG INONG,AFD02,W.14"
"DATIM,""1KKI"",KEBUN KARANG INONG,AFD02,X.10 (**)"
"DATIM,""1KKI"",KEBUN KARANG INONG,AFD02,X.11"
"DATIM,""1KKI"",KEBUN KARANG INONG,AFD02,X.12"
"DATIM,""1KKI"",KEBUN KARANG INONG,AFD02,X.13"
"DATIM,""1KKI"",KEBUN KARANG INONG,AFD02,Y.10 (**)"
"DATIM,""1KKI"",KEBUN KARANG INONG,AFD02,Y.11"
"DATIM,""1KKI"",KEBUN KARANG INONG,AFD02,Y.8"
"DATIM,""1KKI"",KEBUN KARANG INONG,AFD02,Y.9"
"DATIM,""1KKI"",KEBUN KARANG INONG,AFD03,Q.2"
"DATIM,""1KKI"",KEBUN KARANG INONG,AFD03,R.3"
"DATIM,""1KKI"",KEBUN KARANG INONG,AFD03,R.6"
"DATIM,""1KKI"",KEBUN KARANG INONG,AFD03,S.3"
"DATIM,""1KKI"",KEBUN KARANG INONG,AFD03,S.4"
"DATIM,""1KKI"",KEBUN KARANG INONG,AFD03,S.5"
"DATIM,""1KKI"",KEBUN KARANG INONG,AFD03,S.6"
"DATIM,""1KKI"",KEBUN KARANG INONG,AFD04,I.15"
"DATIM,""1KKI"",KEBUN KARANG INONG,AFD04,I.16"
"DATIM,""1KKI"",KEBUN KARANG INONG,AFD04,J.15"
"DATIM,""1KKI"",KEBUN KARANG INONG,AFD04,J.16"
"DATIM,""1KKI"",KEBUN KARANG INONG,AFD04,K.15"
"DATIM,""1KKI"",KEBUN KARANG INONG,AFD04,K.16"
"DATIM,""1KKI"",KEBUN KARANG INONG,AFD04,M.14"
"DATIM,""1KKI"",KEBUN KARANG INONG,AFD04,N.13"
"DATIM,""1KKI"",KEBUN KARANG INONG,AFD04,N.14"
"DATIM,""1KKI"",KEBUN KARANG INONG,AFD04,O.13"
"DATIM,""1KKI"",KEBUN KARANG INONG,AFD04,O.14"
"DATIM,""1KKI"",KEBUN KARANG INONG,AFD04,P.13"
"DATIM,""1KKI"",KEBUN KARANG INONG,AFD04,P.14"
"DATIM,""1KKI"",KEBUN KARANG INONG,AFD04,P.15"
"DATIM,""1KKI"",KEBUN KARANG INONG,AFD04,P.16"
"DATIM,""1KKI"",KEBUN KARANG INONG,AFD04,Q.13"
"DATIM,""1KKI"",KEBUN KARANG INONG,AFD04,Q.14"
"DATIM,""1KKI"",KEBUN KARANG INONG,AFD04,Q.15"
"DATIM,""1KKI"",KEBUN KARANG INONG,AFD05,D.19"
"DATIM,""1KKI"",KEBUN KARANG INONG,AFD05,D.20"
"DATIM,""1KKI"",KEBUN KARANG INONG,AFD05,E.19"
"DATIM,""1KKI"",KEBUN KARANG INONG,AFD05,E.20"
"DATIM,""1KKI"",KEBUN KARANG INONG,AFD05,E.21"
"DATIM,""1KKI"",KEBUN KARANG INONG,AFD05,F.20"
"DATIM,""1KKI"",KEBUN KARANG INONG,AFD05,F.21"
"DATIM,""1KKI"",KEBUN KARANG INONG,AFD05,G.20"
"DATIM,""1KKI"",KEBUN KARANG INONG,AFD05,G.21"
"DATIM,""1KKI"",KEBUN KARANG INONG,AFD05,H.17"
"DATIM,""1KKI"",KEBUN KARANG INONG,AFD05,H.18"
"DATIM,""1KKI"",KEBUN KARANG INONG,AFD06,J.19"
"DATIM,""1KKI"",KEBUN KARANG INONG,AFD06,J.20"
"DATIM,""1KKI"",KEBUN KARANG INONG,AFD06,L.19"
"DATIM,""1KKI"",KEBUN KARANG INONG,AFD06,L.20"
"DATIM,""1KKI"",KEBUN KARANG INONG,AFD06,L.21"
"DATIM,""1KKI"",KEBUN KARANG INONG,AFD06,M.20"
"DATIM,""1KKI"",KEBUN KARANG INONG,AFD06,M.21"
"DATIM,""1KKI"",KEBUN KARANG INONG,AFD06,N.19"
"DATIM,""1KKI"",KEBUN KARANG INONG,AFD06,N.20"
"DATIM,""1KKI"",KEBUN KARANG INONG,AFD06,N.21"
"DATIM,""1KKI"",KEBUN KARANG INONG,AFD06,O.19"
"DATIM,""1KKI"",KEBUN KARANG INONG,AFD06,P.17"
"DATIM,""1KKI"",KEBUN KARANG INONG,AFD06,P.18"
"DATIM,""1KKI"",KEBUN KARANG INONG,AFD06,P.19"
DJABA,KALAK,KEBUN CISALAK BARU,AFD01,A13
DJABA,KALAK,KEBUN CISALAK BARU,AFD01,A14
DJABA,KALAK,KEBUN CISALAK BARU,AFD01,A15
DJABA,KALAK,KEBUN CISALAK BARU,AFD01,A18
DJABA,KALAK,KEBUN CISALAK BARU,AFD01,A19
DJABA,KALAK,KEBUN CISALAK BARU,AFD01,A20
DJABA,KALAK,KEBUN CISALAK BARU,AFD01,A21
DJABA,KALAK,KEBUN CISALAK BARU,AFD01,A22
DJABA,KALAK,KEBUN CISALAK BARU,AFD01,A23
DJABA,KALAK,KEBUN CISALAK BARU,AFD01,A24
DJABA,KALAK,KEBUN CISALAK BARU,AFD01,A25
DJABA,KALAK,KEBUN CISALAK BARU,AFD01,A26
DJABA,KALAK,KEBUN CISALAK BARU,AFD01,A4
DJABA,KALAK,KEBUN CISALAK BARU,AFD01,A5
DJABA,KALAK,KEBUN CISALAK BARU,AFD01,A7
DJABA,KALAK,KEBUN CISALAK BARU,AFD02,B1
DJABA,KALAK,KEBUN CISALAK BARU,AFD02,B10
DJABA,KALAK,KEBUN CISALAK BARU,AFD02,B11
DJABA,KALAK,KEBUN CISALAK BARU,AFD02,B12
DJABA,KALAK,KEBUN CISALAK BARU,AFD02,B13
DJABA,KALAK,KEBUN CISALAK BARU,AFD02,B14
DJABA,KALAK,KEBUN CISALAK BARU,AFD02,B15
DJABA,KALAK,KEBUN CISALAK BARU,AFD02,B16
DJABA,KALAK,KEBUN CISALAK BARU,AFD02,B17
DJABA,KALAK,KEBUN CISALAK BARU,AFD02,B18
DJABA,KALAK,KEBUN CISALAK BARU,AFD02,B19
DJABA,KALAK,KEBUN CISALAK BARU,AFD02,B2
DJABA,KALAK,KEBUN CISALAK BARU,AFD02,B20
DJABA,KALAK,KEBUN CISALAK BARU,AFD02,B21
DJABA,KALAK,KEBUN CISALAK BARU,AFD02,B22
DJABA,KALAK,KEBUN CISALAK BARU,AFD02,B23
DJABA,KALAK,KEBUN CISALAK BARU,AFD02,B3
DJABA,KALAK,KEBUN CISALAK BARU,AFD02,B4
DJABA,KALAK,KEBUN CISALAK BARU,AFD02,B5
DJABA,KALAK,KEBUN CISALAK BARU,AFD02,B6
DJABA,KALAK,KEBUN CISALAK BARU,AFD02,B7
DJABA,KALAK,KEBUN CISALAK BARU,AFD02,B8
DJABA,KALAK,KEBUN CISALAK BARU,AFD02,B9
DJABA,KALAK,KEBUN CISALAK BARU,AFD03,C1
DJABA,KALAK,KEBUN CISALAK BARU,AFD03,C10
DJABA,KALAK,KEBUN CISALAK BARU,AFD03,C11
DJABA,KALAK,KEBUN CISALAK BARU,AFD03,C12
DJABA,KALAK,KEBUN CISALAK BARU,AFD03,C14
DJABA,KALAK,KEBUN CISALAK BARU,AFD03,C15
DJABA,KALAK,KEBUN CISALAK BARU,AFD03,C17
DJABA,KALAK,KEBUN CISALAK BARU,AFD03,C18
DJABA,KALAK,KEBUN CISALAK BARU,AFD03,C19
DJABA,KALAK,KEBUN CISALAK BARU,AFD03,C2
DJABA,KALAK,KEBUN CISALAK BARU,AFD03,C20
DJABA,KALAK,KEBUN CISALAK BARU,AFD03,C21
DJABA,KALAK,KEBUN CISALAK BARU,AFD03,C3
DJABA,KALAK,KEBUN CISALAK BARU,AFD03,C4
DJABA,KALAK,KEBUN CISALAK BARU,AFD03,C5
DJABA,KALAK,KEBUN CISALAK BARU,AFD03,C6
DJABA,KALAK,KEBUN CISALAK BARU,AFD03,C7
DJABA,KALAK,KEBUN CISALAK BARU,AFD03,C8
DJABA,KALAK,KEBUN CISALAK BARU,AFD03,C9
DJABA,KALAK,KEBUN CISALAK BARU,AFD04,D1
DJABA,KALAK,KEBUN CISALAK BARU,AFD04,D10
DJABA,KALAK,KEBUN CISALAK BARU,AFD04,D11
DJABA,KALAK,KEBUN CISALAK BARU,AFD04,D12
DJABA,KALAK,KEBUN CISALAK BARU,AFD04,D13
DJABA,KALAK,KEBUN CISALAK BARU,AFD04,D14
DJABA,KALAK,KEBUN CISALAK BARU,AFD04,D15
DJABA,KALAK,KEBUN CISALAK BARU,AFD04,D16
DJABA,KALAK,KEBUN CISALAK BARU,AFD04,D17
DJABA,KALAK,KEBUN CISALAK BARU,AFD04,D18
DJABA,KALAK,KEBUN CISALAK BARU,AFD04,D19
DJABA,KALAK,KEBUN CISALAK BARU,AFD04,D2
DJABA,KALAK,KEBUN CISALAK BARU,AFD04,D20
DJABA,KALAK,KEBUN CISALAK BARU,AFD04,D21
DJABA,KALAK,KEBUN CISALAK BARU,AFD04,D3
DJABA,KALAK,KEBUN CISALAK BARU,AFD04,D4
DJABA,KALAK,KEBUN CISALAK BARU,AFD04,D5
DJABA,KALAK,KEBUN CISALAK BARU,AFD04,D6
DJABA,KALAK,KEBUN CISALAK BARU,AFD04,D7
DJABA,KALAK,KEBUN CISALAK BARU,AFD04,D8
DJABA,KALAK,KEBUN CISALAK BARU,AFD04,D9
DJABA,KALAK,KEBUN CISALAK BARU,AFD05,E1
DJABA,KALAK,KEBUN CISALAK BARU,AFD05,E10
DJABA,KALAK,KEBUN CISALAK BARU,AFD05,E11
DJABA,KALAK,KEBUN CISALAK BARU,AFD05,E12
DJABA,KALAK,KEBUN CISALAK BARU,AFD05,E13
DJABA,KALAK,KEBUN CISALAK BARU,AFD05,E2
DJABA,KALAK,KEBUN CISALAK BARU,AFD05,E3
DJABA,KALAK,KEBUN CISALAK BARU,AFD05,E4
DJABA,KALAK,KEBUN CISALAK BARU,AFD05,E5
DJABA,KALAK,KEBUN CISALAK BARU,AFD05,E6
DJABA,KALAK,KEBUN CISALAK BARU,AFD05,E7
DJABA,KALAK,KEBUN CISALAK BARU,AFD05,E8
DJABA,KALAK,KEBUN CISALAK BARU,AFD05,E9
DJABA,KALAK,KEBUN CISALAK BARU,AFD06,F1
DJABA,KALAK,KEBUN CISALAK BARU,AFD06,F10
DJABA,KALAK,KEBUN CISALAK BARU,AFD06,F11
DJABA,KALAK,KEBUN CISALAK BARU,AFD06,F12
DJABA,KALAK,KEBUN CISALAK BARU,AFD06,F13
DJABA,KALAK,KEBUN CISALAK BARU,AFD06,F14
DJABA,KALAK,KEBUN CISALAK BARU,AFD06,F15
DJABA,KALAK,KEBUN CISALAK BARU,AFD06,F16
DJABA,KALAK,KEBUN CISALAK BARU,AFD06,F17
DJABA,KALAK,KEBUN CISALAK BARU,AFD06,F18
DJABA,KALAK,KEBUN CISALAK BARU,AFD06,F19
DJABA,KALAK,KEBUN CISALAK BARU,AFD06,F2
DJABA,KALAK,KEBUN CISALAK BARU,AFD06,F20
DJABA,KALAK,KEBUN CISALAK BARU,AFD06,F21
DJABA,KALAK,KEBUN CISALAK BARU,AFD06,F22
DJABA,KALAK,KEBUN CISALAK BARU,AFD06,F23
DJABA,KALAK,KEBUN CISALAK BARU,AFD06,F3
